Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,2024-05-26,2024-05-29,CUST847,Victoria Melton,Home Office,PROD5416,Monitor,Electronics,East,Virginia,South Cynthiaport,10,3730,0,37300.0,33428.63,3871.37,Credit Card,Cancelled,Wolf Group,randy50@esparza.org,39,No,0
ORD1001,2024-10-04,2024-10-08,CUST338,Alexander Benitez,Home Office,PROD7156,Bookshelf,Furniture,North,Missouri,Yufort,8,2028,20,12979.2,8535.47,4443.73,UPI,Returned,Wells and Sons,timothy27@gonzales.biz,47,No,0
ORD1002,2024-05-24,2024-05-29,CUST923,Vincent Buchanan,Consumer,PROD2230,Calculator,Office Supplies,South,Florida,Josephbury,7,3987,10,25118.1,18964.61,6153.49,Cash,Returned,Molina-Hill,martinthompson@newton-young.info,15,No,0
ORD1003,2024-08-03,2024-08-05,CUST212,Alexandria Ramsey,Home Office,PROD3037,Pen,Office Supplies,West,Vermont,West Ronaldshire,9,3805,5,32532.75,19966.08,12566.67,UPI,Delivered,"Peterson, Marsh and Armstrong",lisa70@howard.com,46,No,0
ORD1004,2024-10-10,2024-10-13,CUST767,Nathaniel Thompson,Corporate,PROD1932,Study Table,Furniture,South,Alaska,Port Gregoryville,10,1191,10,10719.0,7315.79,3403.21,Net Banking,Delivered,Hess LLC,boothstephanie@thomas.com,16,No,0
ORD1005,2023-12-17,2023-12-21,CUST470,Michael Freeman,Corporate,PROD8226,Stapler,Office Supplies,East,Massachusetts,West Jennifer,7,451,20,2525.6,1534.1,991.5,Credit Card,Delivered,Cook-Hall,jennifer04@lyons.net,48,No,0
ORD1006,2025-10-24,2025-10-28,CUST696,Benjamin Davis,Consumer,PROD4646,Sofa,Furniture,South,Virginia,Emilyland,3,4657,0,13971.0,10765.53,3205.47,Cash,Cancelled,Peters and Sons,tanyaball@blair.biz,23,No,0
ORD1007,2024-01-25,2024-01-29,CUST295,Mark Fuller,Corporate,PROD6386,Rice Bag,Grocery,East,West Virginia,South Dawnmouth,7,1776,20,9945.6,7074.06,2871.54,Net Banking,Delivered,"Wolf, Murray and Strong",reedbrian@ward-murphy.com,13,No,0
ORD1008,2025-08-18,2025-08-20,CUST991,Bradley Brown,Corporate,PROD1209,Cooking Oil,Grocery,West,Maine,Wilsonton,5,1249,20,4996.0,4276.76,719.24,Credit Card,Delivered,Douglas-Doyle,michael64@martin.com,43,No,0
ORD1009,2024-05-03,2024-05-08,CUST458,Kenneth King,Home Office,PROD1926,Calculator,Office Supplies,North,Oklahoma,South Nicolechester,3,2403,10,6488.1,4234.2,2253.9,UPI,Cancelled,Fuller Inc,bruce78@butler-gonzalez.com,8,Yes,44
ORD1010,2024-04-13,2024-04-14,CUST178,Amber Holmes,Home Office,PROD1815,Headphones,Electronics,West,Missouri,Mccalltown,7,719,5,4781.35,3667.62,1113.73,Cash,Returned,Stokes-Smith,joshuataylor@fitzgerald.info,33,No,0
ORD1011,2025-10-28,2025-10-30,CUST169,Brent Smith,Home Office,PROD1884,Calculator,Office Supplies,East,Wyoming,Johntown,6,3178,20,15254.4,13671.94,1582.46,Net Banking,Cancelled,"Lang, Nicholson and Norman",fosterjerry@fox-smith.com,35,No,0
ORD1012,2024-01-25,2024-01-26,CUST951,Alexander Smith,Corporate,PROD2900,Calculator,Office Supplies,West,Florida,South Lacey,1,3104,5,2948.8,1896.58,1052.22,Cash,Returned,Hughes Ltd,nfrank@cochran.com,32,No,0
ORD1013,2025-08-19,2025-08-23,CUST233,David Green,Corporate,PROD7284,Bookshelf,Furniture,South,Montana,Nicoleside,1,1138,10,1024.2,901.21,122.99,Credit Card,Delivered,"Rowland, Clarke and Brown",lauriedavis@vazquez-kaufman.net,45,No,0
ORD1014,2024-09-09,2024-09-15,CUST181,Ethan Conway,Consumer,PROD8447,Rice Bag,Grocery,South,New Jersey,East Megan,8,1669,10,12016.8,8294.04,3722.76,UPI,Returned,"Johnson, Palmer and Mendoza",rcollins@nelson-garcia.net,21,No,0
ORD1015,2024-04-13,2024-04-14,CUST849,Shelley Brown,Consumer,PROD3677,Notebook,Office Supplies,North,Kentucky,Victorfurt,6,4089,20,19627.2,12548.12,7079.08,UPI,Returned,Hickman-Williamson,chadstephens@wells.net,36,No,0
ORD1016,2024-04-20,2024-04-26,CUST170,Anthony Bowman,Home Office,PROD9466,Bookshelf,Furniture,South,Florida,North Shawnhaven,2,4193,15,7128.1,4740.28,2387.82,UPI,Pending,"Brown, Hernandez and Ward",halejonathan@patton.biz,20,No,0
ORD1017,2024-01-22,2024-01-25,CUST169,Robert Ross,Home Office,PROD2433,Study Table,Furniture,East,Missouri,Kimberlyville,4,912,20,2918.4,2304.21,614.19,Net Banking,Cancelled,"Mayer, Walker and Whitaker",bradleycassandra@lyons-smith.com,19,No,0
ORD1018,2025-08-24,2025-08-29,CUST160,Daniel Smith,Corporate,PROD3686,Rice Bag,Grocery,South,South Carolina,North Misty,1,3555,5,3377.25,2167.0,1210.25,Net Banking,Returned,"York, Phillips and Hood",jessicagreen@russell-stone.com,33,No,0
ORD1019,2025-01-05,2025-01-12,CUST775,Haley Jackson,Home Office,PROD4530,Office Chair,Furniture,South,Mississippi,New Sarahtown,7,821,5,5459.65,3284.87,2174.78,UPI,Delivered,Scott Inc,christina26@gutierrez-smith.biz,13,No,0
ORD1020,2024-02-09,2024-02-10,CUST497,Ryan Cruz,Consumer,PROD5964,Sofa,Furniture,South,Arizona,Connerport,7,155,0,1085.0,954.43,130.57,Credit Card,Cancelled,Owens PLC,ashley55@jackson-miller.biz,9,Yes,22
ORD1021,2024-08-27,2024-08-28,CUST748,Angela Manning,Home Office,PROD7158,File Folder,Office Supplies,South,California,Jimeneztown,3,2074,5,5910.9,4289.17,1621.73,Net Banking,Delivered,Gomez-Hall,dlopez@perez.info,49,No,0
ORD1022,2025-05-25,2025-05-26,CUST614,Michael Gonzales,Home Office,PROD1659,Sugar,Grocery,South,Minnesota,Kevinland,4,4298,20,13753.6,10401.48,3352.12,Net Banking,Delivered,"Kerr, Ritter and Harris",kristine64@roberts.com,23,No,0
ORD1023,2025-10-16,2025-10-19,CUST657,Jon Cruz,Consumer,PROD4540,Bookshelf,Furniture,South,Delaware,Marcusburgh,6,1969,15,10041.9,7341.69,2700.21,UPI,Cancelled,Adams and Sons,michael84@pollard-haynes.com,22,No,0
ORD1024,2024-01-11,2024-01-18,CUST471,William Powell,Consumer,PROD2753,Headphones,Electronics,North,New York,Spenceport,4,275,15,935.0,808.13,126.87,Net Banking,Pending,Carr-Harris,cmclaughlin@smith.com,49,No,0
ORD1025,2024-09-29,2024-10-03,CUST125,Jacob Mcknight,Consumer,PROD3751,Laptop,Electronics,East,Montana,Gonzalesfort,2,1469,5,2791.1,2443.63,347.47,Credit Card,Returned,Martinez Group,michaelsmith@bell.net,3,Yes,43
ORD1026,2025-09-13,2025-09-16,CUST858,Monique Phillips,Home Office,PROD7528,Keyboard,Electronics,North,Iowa,Wernerberg,9,739,20,5320.8,4207.66,1113.14,Credit Card,Pending,Cherry and Sons,diana24@paul.com,42,No,0
ORD1027,2025-06-11,2025-06-18,CUST284,Megan Gillespie,Home Office,PROD5876,Office Chair,Furniture,East,Idaho,Christinaborough,9,2998,0,26982.0,21907.99,5074.01,Credit Card,Returned,Scott LLC,angelawood@jordan.com,23,No,0
ORD1028,2025-04-24,2025-04-29,CUST416,Christy Jackson,Home Office,PROD8759,Sofa,Furniture,West,West Virginia,Burkeport,8,3270,20,20928.0,15532.17,5395.83,Credit Card,Delivered,"Costa, Howell and Sheppard",karenmorales@lopez.com,14,No,0
ORD1029,2025-08-02,2025-08-04,CUST274,Amanda Baker,Home Office,PROD2203,Laptop,Electronics,North,Utah,Gardnerberg,9,2915,10,23611.5,20018.79,3592.71,Cash,Delivered,"Munoz, Price and Dunlap",zdavis@lewis.net,44,No,0
ORD1030,2024-08-17,2024-08-22,CUST308,Gabrielle Goodman,Corporate,PROD8888,Bookshelf,Furniture,East,West Virginia,Smithfurt,2,1907,0,3814.0,3304.18,509.82,Cash,Delivered,Kelly-Underwood,ohall@daugherty-smith.com,48,No,0
ORD1031,2025-01-09,2025-01-11,CUST296,Megan Atkinson,Home Office,PROD1760,Juice Pack,Grocery,West,Kansas,Lake Sarahstad,1,4571,15,3885.35,3428.61,456.74,Net Banking,Delivered,Smith and Sons,stanleydaugherty@mccoy.com,50,No,0
ORD1032,2024-06-07,2024-06-11,CUST911,Daniel Holmes,Consumer,PROD5553,Notebook,Office Supplies,East,Texas,Lisaburgh,10,845,15,7182.5,4529.4,2653.1,Credit Card,Returned,Hartman and Sons,edwardsbeth@parker.net,44,No,0
ORD1033,2025-07-31,2025-08-07,CUST387,Charles Coffey,Home Office,PROD4731,Rice Bag,Grocery,West,New Mexico,Smithshire,7,1036,15,6164.2,5080.64,1083.56,UPI,Delivered,"Jackson, Riley and James",cpearson@brown.com,33,No,0
ORD1034,2025-06-23,2025-06-29,CUST218,John Porter,Corporate,PROD9262,Dining Table,Furniture,East,Washington,Barnesmouth,9,4825,0,43425.0,31590.07,11834.93,UPI,Pending,Moreno and Sons,michaelconner@williams.biz,10,No,0
ORD1035,2024-06-12,2024-06-13,CUST637,Rebekah Lopez,Home Office,PROD9055,Office Chair,Furniture,West,Minnesota,North Daniel,8,467,15,3175.6,2534.26,641.34,Cash,Cancelled,Larson-Moore,darrenanderson@hill.com,49,No,0
ORD1036,2024-03-31,2024-04-03,CUST982,Renee Nielsen,Corporate,PROD7361,Stapler,Office Supplies,East,Maine,Sandersshire,9,2060,0,18540.0,14473.0,4067.0,Cash,Pending,Williams-Allen,krystalthomas@buchanan.com,34,No,0
ORD1037,2024-02-09,2024-02-15,CUST168,Vincent Brown,Consumer,PROD6899,Mouse,Electronics,South,New Hampshire,New Earlmouth,2,2927,5,5561.3,3496.63,2064.67,Credit Card,Pending,Cook-Diaz,jenniferbruce@hodge-miranda.com,16,No,0
ORD1038,2024-01-28,2024-02-01,CUST213,Joseph Lucero,Consumer,PROD5850,Sofa,Furniture,North,South Dakota,Richland,2,3035,0,6070.0,3711.81,2358.19,Credit Card,Cancelled,Guzman and Sons,elizabethrichards@vang-brown.com,29,No,0
ORD1039,2024-10-14,2024-10-19,CUST866,Daniel Palmer,Home Office,PROD1657,Rice Bag,Grocery,South,Illinois,North Michaelbury,3,2017,15,5143.35,3103.37,2039.98,Credit Card,Delivered,"Williams, Romero and Wade",joseph08@weaver.org,47,No,0
ORD1040,2024-02-08,2024-02-15,CUST445,Brandon Simon,Corporate,PROD2061,Headphones,Electronics,South,Delaware,North Kaylafurt,7,3068,20,17180.8,15179.33,2001.47,Net Banking,Delivered,"Aguirre, Cummings and Bell",kstanley@crawford-harrison.net,20,No,0
ORD1041,2024-01-18,2024-01-20,CUST534,Julie Scott MD,Home Office,PROD7519,Keyboard,Electronics,South,Iowa,Lake Denise,9,2443,20,17589.6,15327.76,2261.84,Cash,Returned,Prince Ltd,kochkrystal@garcia-henderson.com,18,No,0
ORD1042,2024-12-28,2024-12-29,CUST759,David Perkins,Consumer,PROD2575,Laptop,Electronics,North,Colorado,Gregorybury,6,2302,5,13121.4,7936.2,5185.2,Cash,Delivered,Morgan Inc,crystaldonovan@caldwell-moore.net,16,No,0
ORD1043,2024-06-07,2024-06-11,CUST452,Karen Lee,Home Office,PROD1520,Snacks,Grocery,North,Missouri,Emilyshire,1,282,20,225.6,163.67,61.93,UPI,Pending,Hill LLC,grant43@rice-dalton.info,26,No,0
ORD1044,2024-02-08,2024-02-10,CUST183,Rachel Flynn,Consumer,PROD9723,Rice Bag,Grocery,West,Minnesota,Port Angelaport,3,102,10,275.4,225.78,49.62,Cash,Cancelled,"Thomas, Powell and Pugh",adammartinez@lambert.com,21,No,0
ORD1045,2025-08-26,2025-08-29,CUST770,Robert Gomez,Corporate,PROD6741,Sugar,Grocery,East,New York,East Nathanfort,2,734,0,1468.0,1129.17,338.83,Net Banking,Delivered,Romero-Lopez,petersonjennifer@morris.com,31,No,0
ORD1046,2024-06-18,2024-06-19,CUST888,Charles Adams,Consumer,PROD7052,Rice Bag,Grocery,South,Maine,East Justin,2,1631,10,2935.8,1955.31,980.49,Cash,Pending,Turner-Downs,qkhan@klein-crawford.com,31,No,0
ORD1047,2025-03-11,2025-03-13,CUST411,Katherine Dixon,Home Office,PROD5758,Monitor,Electronics,North,North Dakota,Lake Andrew,3,2887,15,7361.85,6565.93,795.92,UPI,Pending,Wise-Martinez,robertfletcher@brennan.biz,17,No,0
ORD1048,2024-03-20,2024-03-26,CUST878,Anthony Brown,Consumer,PROD3400,Pen,Office Supplies,North,Georgia,Melissachester,6,4889,0,29334.0,18290.58,11043.42,Credit Card,Delivered,Heath Inc,jamessanchez@ponce.biz,21,No,0
ORD1049,2025-09-22,2025-09-23,CUST648,Charles Barnes Jr.,Home Office,PROD8246,Mouse,Electronics,West,Florida,East Steven,5,2640,5,12540.0,10867.76,1672.24,Credit Card,Cancelled,Irwin-Flores,louishaley@crosby.com,26,No,0
ORD1050,2025-11-11,2025-11-15,CUST517,Ashley Smith,Consumer,PROD5170,Headphones,Electronics,North,Idaho,Alexandramouth,1,2217,20,1773.6,1576.69,196.91,UPI,Returned,Williams and Sons,ramseyjoshua@aguilar.biz,0,Yes,43
ORD1051,2024-10-20,2024-10-26,CUST554,Victoria Brown,Home Office,PROD9260,Headphones,Electronics,South,Alaska,Veronicafort,8,1779,5,13520.4,11138.46,2381.94,Net Banking,Delivered,Morales and Sons,hannah44@morris.com,36,No,0
ORD1052,2024-01-23,2024-01-30,CUST116,Charles Barton,Home Office,PROD7809,Cooking Oil,Grocery,East,Texas,Johnsonport,3,3693,20,8863.2,6149.94,2713.26,Credit Card,Pending,Pratt-Fuller,hollandnancy@molina.com,25,No,0
ORD1053,2024-10-24,2024-10-27,CUST717,Cassandra Chandler,Home Office,PROD7835,Rice Bag,Grocery,South,Nevada,South Christian,2,4431,15,7532.7,4804.97,2727.73,Net Banking,Delivered,"Cisneros, Salazar and Turner",david47@rogers-griffin.com,9,Yes,22
